"age","body_type","diet","drinks","drugs","education","ethnicity","height","income","job","last_online","location","offspring","orientation","pets","religion","sex","sign","smokes","speaks","status","essay0"
24,"fit",NA,"socially",NA,"graduated from college/university","other",68,NA,"other",2012-06-30 21:22:00,"pacifica, california","doesn't have kids, but might want them","straight","likes dogs and dislikes cats",NA,"f","cancer and it's fun to think about",NA,"english (okay), dutch (fluently), polish (fluently), german (okay)","single","we all die,but not everyone lives.. i do!"
26,"average","mostly anything","not at all","never","graduated from college/university","asian",66,20000,"unemployed",2012-06-09 23:13:00,"berkeley, california","doesn't have kids","straight","likes dogs",NA,"f","cancer and it's fun to think about","no","english, chinese","seeing someone","i came to us with family for school about two years ago and i'm now finishing up my undergrad degree here. i'm a romantic person but may be "
52,"average","mostly anything","not at all","never",NA,"white",74,70000,"construction / craftsmanship",2012-06-30 21:27:00,"mill valley, california","doesn't have kids, but might want them","straight","likes dogs and likes cats","catholicism and somewhat serious about it","m","libra and it's fun to think about","no","english","single","just looking for the last first kiss....  the one who let's me rock her world....  not looking for my next x-wife...  oh wait..i have never "
29,"fit","strictly anything","socially","never","graduated from law school","asian",71,NA,"law / legal services",2012-06-30 17:51:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats",NA,"m",NA,"no","english (fluently), chinese (okay), japanese (poorly)","single","an escapee from the penal colony of australia (where i grew up), a transplant from yale/nyc; a nomad still in search of a place to call home"
27,NA,"mostly anything","socially","never","graduated from college/university","white",72,NA,"banking / financial / real estate",2012-06-29 19:23:00,"san francisco, california",NA,"gay","likes dogs","christianity","m","pisces but it doesn't matter","no","english, french (poorly)","single","i grew up in the midwest. i went to school in wisconsin. i have a chicago accent (apparently we abuse our a's). i'm a beer guy. i like tall "
39,NA,"anything","socially","never","graduated from masters program","native american, white",54,NA,"medicine / health",2012-06-30 23:26:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs and likes cats","christianity","f","leo and it's fun to think about","no","english, spanish (poorly)","single","in this section of the profile i am suppose to describe myself so eloquently that one woud want to write to me. however, it is very hard to "
46,"average",NA,"socially","never","graduated from law school","white",75,NA,"law / legal services",2012-06-28 08:53:00,"san francisco, california",NA,"gay",NA,NA,"m","pisces","no","english","single","i'm comfortable in a tux or a t-shirt and jeans...i can run away for a long weekend and not feel guilty about the dirty dishes in the sink.."
41,"average","mostly anything","socially","never","graduated from college/university","white",74,NA,NA,2012-06-30 08:04:00,"novato, california",NA,"straight","has dogs and has cats","agnosticism and laughing about it","m","virgo and it's fun to think about","no","english (fluently), french (okay)","available","i have pics to share...just ask! if i save you to my favorites, it is generally so you can see those pics... :-)    i am a nice guy who is i"
39,"fit","vegetarian","socially",NA,"graduated from space camp","white",67,NA,"other",2012-06-29 22:27:00,"berkeley, california","doesn't have kids","straight",NA,"judaism","f","gemini","no","english, russian, hebrew, spanish","single","the first thing you should know is that i love to travel. my grandmother says that i always have a suitcase packed ""just in case"" someone in"
40,"average","mostly anything","socially","never","graduated from college/university","white",70,NA,"political / government",2012-06-25 18:44:00,"oakland, california",NA,"straight",NA,"catholicism but not too serious about it","f","virgo and it's fun to think about","no","english (fluently), french (okay)","single","i love a good laugh, long lively dinners with friends old and new, exploring the bay area, day dreaming about vacation, and also stayin' in "
31,NA,NA,NA,NA,NA,NA,70,NA,NA,2012-06-14 11:10:00,"san francisco, california",NA,"straight",NA,NA,"m",NA,NA,"english","single","living in the bay. working and playing."
27,"fit",NA,"socially",NA,NA,"other",67,NA,NA,2012-03-15 18:14:00,"oakland, california",NA,"straight","likes dogs and likes cats","agnosticism","m","leo and it's fun to think about","no","english","single","sometimes my schedule gets a little crazy, so for the in between times i find myself keeping an eye out for someone with a unique perspectiv"
21,"curvy",NA,"socially","never","working on college/university",NA,62,NA,"student",2012-06-28 22:17:00,"brisbane, california","doesn't have kids, but might want them","straight","has dogs","christianity and very serious about it","f","taurus and it's fun to think about","no","english","single","my future is looking for me and i'm not stopping until i grasp it."
28,"athletic",NA,"rarely","never","graduated from college/university","asian",72,NA,"other",2012-06-30 05:31:00,"san leandro, california",NA,"straight","likes dogs and has cats","christianity","m","virgo","no","english (fluently), chinese (okay), other (poorly), french (poorly)","single","i am a pretty easy going guy. i like to travel, eat, work out, and do everything and anything. try not to waste anytime and improve. my self"
27,"athletic","anything","socially",NA,"graduated from college/university","white",71,NA,"entertainment / media",2012-06-17 08:08:00,"san francisco, california",NA,"straight","likes dogs",NA,"m","sagittarius and it's fun to think about","no","english","single","pretty easy going but driven to reach a few big dreams i got. i enjoy the city and the diverse experience it brings but the mountains feel l"
30,"average","mostly anything","socially",NA,"graduated from masters program","asian",65,NA,"executive / management",2012-06-27 06:40:00,"san francisco, california","doesn't have kids","straight","likes dogs",NA,"f","pisces","no","english, vietnamese","single","i think the average attention span is around two minutes reading a page on the web, so i'll keep this short :) i've always been an ambitious"
32,"average",NA,NA,NA,NA,"white",70,NA,NA,2012-04-07 14:41:00,"palo alto, california",NA,"gay",NA,"other","m","sagittarius","no","english","single",NA
21,"average","mostly anything","rarely","sometimes","working on college/university","middle eastern, hispanic / latin, white",71,NA,"transportation",2012-01-20 10:29:00,"palo alto, california",NA,"straight","has dogs and likes cats","other but not too serious about it","m","taurus and it's fun to think about","no","english","single","im a very devoted nice guy not interested in the one night stands. i love connection and having someone to spend time with. have a love for "
24,"athletic","strictly vegetarian","socially",NA,"working on masters program","white",74,NA,"student",2012-06-30 23:30:00,"san francisco, california",NA,"straight",NA,"atheism","m",NA,"no","english (fluently), french (okay)","single","i'm a graduate student of physics at sfsu. i'm from a small town and getting used to the big city. i'm just learning how to have fun here an"
34,"athletic","strictly anything","not at all","never",NA,"other",72,NA,"executive / management",2012-06-26 07:40:00,"san francisco, california",NA,"gay",NA,NA,"m","aries and it's fun to think about","yes","english","single","i am a passionate person who is easy to get along with.  i am introverted by nature, but not necessarily shy.  i enjoy the simple things as "
29,"average","mostly anything","socially","never","graduated from college/university","white",66,NA,"artistic / musical / writer",2012-06-23 04:03:00,"san francisco, california",NA,"straight","likes dogs","agnosticism","m","virgo but it doesn't matter","no","english, italian (poorly)","single","i'm a singer-songwriter, graphic designer from chicago who moved to the bay area in june of 2011. i split my time working in oakland and liv"
64,"fit","mostly vegetarian","socially",NA,"graduated from college/university","white",61,NA,"student",2012-04-27 19:26:00,"san francisco, california","has a kid","straight","likes dogs and likes cats","other but not too serious about it","f","gemini but it doesn't matter","no","english (fluently), french (poorly)","single","hi there! i'm lotus, a sensitive intelligent woman who is young in appearance, body, spirit and outlook thanks to years of yoga, healthy die"
28,"fit","strictly anything","socially","never","graduated from college/university","white",71,NA,"artistic / musical / writer",2012-03-23 03:08:00,"berkeley, california",NA,"straight",NA,"atheism","m","taurus","no","english (fluently)","single","i am a northern california native, born and raised. i've been to la and ny and sf always draws me back the most. oakland is my playground an"
49,"a little extra",NA,"socially","never","graduated from masters program","white",68,NA,"artistic / musical / writer",2012-06-22 10:04:00,"san francisco, california",NA,"gay",NA,"agnosticism but not too serious about it","f","sagittarius and it's fun to think about","no","english","single","i have the most fun when i am being creative. i love writing plays, singing in a choir, writing poetry, painting for fun. i have been a prof"
28,"curvy",NA,"rarely",NA,"graduated from college/university","white",61,NA,NA,2012-06-05 20:09:00,"berkeley, california",NA,"straight",NA,"judaism but not too serious about it","f",NA,"no","english (fluently), spanish (poorly), dutch (poorly), german (poorly)","seeing someone","i like building forts with kids and other things out of wood. i like to bicycle, do gymnastics, play, make art, do acro yoga, climb trees, c"
46,"athletic",NA,"often","sometimes","graduated from ph.d program","white",72,70000,"science / tech / engineering",2011-06-29 20:30:00,"san francisco, california","doesn't want kids","straight",NA,"atheism","m",NA,"no","english","single",NA
26,"used up","mostly anything","socially",NA,"dropped out of space camp",NA,65,80000,"computer / hardware / software",2012-06-29 21:35:00,"san francisco, california",NA,"straight","has dogs",NA,"f","cancer but it doesn't matter","no","english, german, spanish, c++","single","i have a thing about people who explicitly say they are sarcastic or witty. things like that should be apparent in your writing. it's like s"
30,"athletic",NA,NA,NA,"working on ph.d program","white",68,NA,NA,2012-05-09 00:01:00,"san francisco, california",NA,"straight",NA,NA,"m",NA,"no","english","single","reformed robber barron."
27,"fit",NA,"socially","never",NA,"white",71,NA,NA,2012-05-22 22:53:00,"stanford, california",NA,"straight",NA,NA,"m",NA,"no","english","single",NA
23,"a little extra",NA,"often","sometimes","working on college/university","white",62,20000,"artistic / musical / writer",2012-06-27 19:42:00,"oakland, california",NA,"straight","likes dogs and likes cats",NA,"f","sagittarius and it's fun to think about","yes","english","single","born and raised in the east bay. open minded and easy going."
33,"thin","strictly anything","not at all","never","dropped out of space camp","asian",70,150000,"computer / hardware / software",2012-06-30 19:45:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs and likes cats","agnosticism but not too serious about it","m","taurus but it doesn't matter","no","english (fluently), vietnamese (poorly)","single"," foie gras death watch   i'm looking for someone to eat foie gras with before they ban it in 2 weeks. seared, torchon, rossini-style, stuffe"
24,"average",NA,"socially","never","graduated from college/university","black, hispanic / latin",73,NA,"military",2012-06-30 15:02:00,"san francisco, california",NA,"straight","likes dogs and likes cats","catholicism but not too serious about it","m","aries and it's fun to think about","no","english (fluently), spanish (fluently)","single","my name is troy and i was born and raised in nice and foggy san francisco, ca. i am a very intelligent and outgoing individual who enjoys qu"
37,"curvy","anything","socially","never","graduated from masters program","white",71,NA,"medicine / health",2012-06-30 15:48:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs and likes cats","catholicism but not too serious about it","f","pisces and it's fun to think about","sometimes","english","single","wellto start, i'm a recent 37 year old, single, tall, blonde female. i have never been married and have no kids. i moved to san francisco 5 "
38,"athletic",NA,"socially","never","graduated from college/university","white",74,NA,"construction / craftsmanship",2012-06-22 16:56:00,"berkeley, california",NA,"straight","has dogs",NA,"m","cancer but it doesn't matter","no","english (fluently), dutch (fluently)","seeing someone","easy going and down to earth, i like to think i can see the humor in most things. spent a couple of years traveling the earth (egypt, jordan"
21,"average","mostly anything","socially","never","working on college/university","white",72,NA,"student",2012-07-01 04:21:00,"walnut creek, california","doesn't have kids","straight","likes dogs and likes cats","atheism but not too serious about it","m","cancer but it doesn't matter","no","english (poorly)","single","i'm just a guy that loves art, video games, and stand up comedy. i used to play fighting games competitively for a couple years but had to s"
37,"fit","anything","socially",NA,"graduated from college/university","white",70,NA,"medicine / health",2012-06-30 00:22:00,"san francisco, california",NA,"straight","likes dogs",NA,"m","libra but it doesn't matter","no","english (fluently), spanish (poorly)","single","i'm from the bay area, went to boulder, co. for college & have been back here in sf for 12 years. i can't imagine leaving this area...except"
25,"curvy","mostly anything","often","never","graduated from college/university","white",66,NA,"artistic / musical / writer",2012-06-27 07:20:00,"richmond, california",NA,"straight","likes dogs and likes cats",NA,"f","scorpio and it's fun to think about","no","english, italian (poorly), spanish (poorly)","single","actor, teaching artist, food lover, beatles freak, shakespeare enthusiast, flight of the conchords obsessor.    this site seems to think i n"
25,"average","mostly other","rarely","never","working on masters program","white",67,80000,"computer / hardware / software",2012-06-30 09:13:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs","atheism and laughing about it","m","taurus but it doesn't matter","no","english (fluently), c++ (okay), latin (poorly), spanish (poorly)","single","i am an all-around good guy who gets tongue-tied and self-conscious when i even think about talking to a girl that i like. i also evidently "
45,"average","mostly anything","often","sometimes","graduated from two-year college","white",68,100000,"medicine / health",2012-06-30 11:55:00,"san francisco, california","has kids, but doesn't want more","straight","likes dogs and dislikes cats","catholicism and laughing about it","m","cancer but it doesn't matter","trying to quit","english","available","i always hate this part but i will do my best.... i am a paramedic for a fire department here in the sf bay area, i've been doing this thank"
24,"athletic","strictly anything","socially",NA,"graduated from college/university","white",71,NA,"sales / marketing / biz dev",2012-06-25 15:11:00,"san francisco, california",NA,"straight",NA,"catholicism but not too serious about it","m","aries","no","english (fluently), japanese (fluently)","single","i'm an active guy with an open mind. i enjoy meeting new people and finding new places. all the while, doing my best not to forget the impor"
24,"average","strictly anything","often",NA,"graduated from college/university","white",70,NA,"science / tech / engineering",2012-06-30 20:32:00,"san francisco, california",NA,"straight","likes dogs and likes cats","agnosticism and laughing about it","m","pisces and it's fun to think about",NA,"english (fluently), spanish (poorly), italian (poorly)","single","musician, engineer, visual artist, amateur sous-chef, general enthusiast, critic, and curator."
24,NA,"anything","socially",NA,"graduated from masters program","other",65,NA,"education / academia",2012-06-30 08:31:00,"san francisco, california","doesn't have kids","straight",NA,"catholicism","f","virgo","no","english, spanish","single",NA
25,"fit","mostly anything","socially","never","graduated from college/university","white",70,80000,"computer / hardware / software",2012-06-29 09:22:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats","agnosticism and somewhat serious about it","m",NA,"no","english (fluently), spanish (okay), french (poorly), chinese (poorly), latin (okay)","single","i'm a nerd, but a friendly nerd. adventurous, entrepreneurial, always trying new things. life should be about having fun and being happy."
28,"curvy",NA,NA,"never",NA,"white",66,NA,NA,2012-01-29 21:44:00,"martinez, california",NA,"straight",NA,NA,"f",NA,NA,"english","single","i am new to california and am interested in meeting new people."
22,"average",NA,"very often","never",NA,"black",64,NA,NA,2012-04-18 00:56:00,"oakland, california","has a kid","gay",NA,NA,"f","gemini","yes","english","single","love_arielle  well my name is arielle and im 19 years old and i have a 9month old daughter im from oakland california i been living here my "
28,"skinny","mostly anything","socially","never",NA,NA,71,NA,"banking / financial / real estate",2012-07-01 04:16:00,"san mateo, california","doesn't have kids","straight",NA,NA,"m","pisces but it doesn't matter","no","english","single","pale skinny dudes need love too!"
25,"overweight",NA,"not at all","never","graduated from college/university","indian",68,80000,"science / tech / engineering",2012-06-28 00:46:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs","agnosticism","m","scorpio and it's fun to think about","no","english (fluently), hindi (fluently), arabic (poorly)","single","i work in business development for a really cool growing start-up (around 24 people). music is my life, everything but techno/trance/house. "
44,"fit",NA,"socially",NA,"graduated from law school",NA,73,NA,"law / legal services",2012-06-25 22:28:00,"san francisco, california","has a kid","straight","likes dogs and dislikes cats",NA,"m",NA,"no","english, russian","single","[work in progress, as much as in the real life]  in no particular order:  life is random, fabulous, and shall not to be taken seriously.  ch"
40,"athletic",NA,"rarely","never","graduated from college/university","asian, pacific islander",68,150000,"artistic / musical / writer",2012-06-21 22:05:00,"emeryville, california",NA,"straight","likes dogs",NA,"m","aquarius but it doesn't matter","no","english (fluently), urdu (okay), italian (okay), hindi (okay)","single","thanks for dropping by. recent transplant to bay area from chicago. soon to be moving to emeryville. ""self-summary"" sounds like a job interv"
35,"full figured","mostly anything","socially",NA,"graduated from college/university","white",63,NA,"computer / hardware / software",2012-06-30 00:21:00,"san francisco, california","doesn't have kids, and doesn't want any","straight","likes dogs and dislikes cats","agnosticism and laughing about it","f","libra and it's fun to think about","no","english (fluently)","single","i'm a transplant from the midwest but have lived here long enough to call myself a san franciscan. moving here a decade ago was decision mad"
23,"athletic",NA,"socially","never","working on college/university","indian",71,NA,"student",2012-06-23 13:36:00,"palo alto, california",NA,"straight","likes dogs","agnosticism but not too serious about it","m","scorpio but it doesn't matter","no","english (fluently)","single","hii! i'm very optimistic. i can sometimes be sarcastically mean but you shouldn't take me too seriously. i'm actually a really nice guy and "
31,"fit","mostly anything","socially","never","graduated from college/university","white",67,NA,"sales / marketing / biz dev",2012-06-28 19:45:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats","catholicism but not too serious about it","f","gemini and it's fun to think about","no","english","single","before i got into my life story, we should find out if we have common interest? i can hold my own, if its running, cooking, biking, disc gol"
25,"fit","vegetarian","rarely",NA,"working on college/university","asian, other",62,20000,"student",2012-06-30 15:30:00,"san francisco, california",NA,"straight",NA,NA,"f","leo","no","english, chinese (poorly)","single","i'm silly and thoughtful. and i wanna get to know ya. the end.    also this: "
28,NA,NA,"socially","never",NA,"hispanic / latin, white",63,NA,NA,2012-06-01 23:30:00,"san francisco, california","doesn't have kids, but wants them","gay","likes dogs and dislikes cats","christianity and somewhat serious about it","f","aries and it's fun to think about","no","english (fluently)","single","i am just doing me at the moment! i have a lot of things going for me and i am not stopping until i get there! i am all about family! i grew"
36,"average","mostly anything","socially","never","graduated from masters program","white",68,NA,"artistic / musical / writer",2012-05-16 11:05:00,"san francisco, california","doesn't have kids, and doesn't want any","straight","likes dogs and likes cats",NA,"f","aries but it doesn't matter","no","english (fluently), french (okay), spanish (poorly)","single","graphic designer seeking soul mate. is it possible? i have to believe!    i am a bay area native, raised on the peninsula. i have travelled "
24,"average","mostly anything","socially","never","working on ph.d program",NA,64,NA,"education / academia",2012-07-01 00:38:00,"stanford, california",NA,"straight","likes dogs",NA,"f",NA,"no","english (fluently), french (poorly), other (fluently)","single",NA
30,"skinny","anything","often",NA,NA,"white",72,NA,NA,2012-03-23 16:14:00,"san francisco, california",NA,"straight",NA,"agnosticism","m",NA,"no","english","single",NA
55,"average","mostly vegetarian","socially","never","graduated from ph.d program","white",65,NA,"education / academia",2012-06-01 21:44:00,"berkeley, california",NA,"straight","has dogs","other and laughing about it","f","taurus and it's fun to think about","no","english (fluently), russian (poorly)","single","some favorite quotes - what we play is life louis armstrong, according to my tea bag. ""born with the gift of laughter and a sense that the w"
45,"athletic","mostly anything","socially",NA,NA,"white",73,150000,"banking / financial / real estate",2011-11-30 15:09:00,"san francisco, california","has a kid","straight",NA,NA,"m",NA,"no","english","single","i saw someone asked what breed of dog would you most closely relate to and why. i liked that question so i will use the description of the e"
26,"fit",NA,"socially","never",NA,"white",75,NA,"other",2012-06-30 10:26:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats",NA,"m",NA,"no","english","single","i'm an optimistic person who loves life. i am just looking for someone special to share some unforgettable moments with. some of the things "
28,"curvy","mostly anything","often","never","graduated from college/university","white",64,NA,"sales / marketing / biz dev",2012-06-15 00:07:00,"san francisco, california",NA,"straight","likes dogs and likes cats","judaism and laughing about it","f","aries and it's fun to think about","no","english (fluently), spanish (poorly)","married",NA
38,"fit","anything","socially","never","graduated from college/university","white",70,NA,"hospitality / travel",2012-06-29 21:24:00,"san francisco, california","doesn't want kids","gay",NA,NA,"m","gemini but it doesn't matter","no","english (fluently), croatian (fluently), italian (fluently), german (poorly)","single","an eastern european living hapily in san francisco. like to think of myself as a loving, kind and generous person. treat others how i liked "
51,"average",NA,"rarely","sometimes","graduated from college/university","white",62,NA,"medicine / health",2012-06-29 15:11:00,"san leandro, california","has kids","straight","has dogs","other and somewhat serious about it","f","virgo but it doesn't matter","no","english","available","i am seeking connections with men who are familiar with polyamory, and are interested in the open relationship dynamic. if you don't know mu"
32,"athletic","mostly anything",NA,NA,"graduated from college/university","white",71,70000,"executive / management",2012-06-30 15:26:00,"berkeley, california","doesn't have kids, but might want them","straight","likes dogs and has cats","agnosticism and laughing about it","m",NA,"no","english (fluently)","single","i work hard, play hard, and am a exhaustive go-getter packing as much into each day as possible, because, we don't know if there will even b"
27,"athletic","strictly anything","rarely","never","graduated from college/university","black",80,NA,"other",2012-03-23 00:07:00,"hayward, california",NA,"straight","dislikes dogs and dislikes cats","other and very serious about it","m","taurus but it doesn't matter","no","english (fluently)","single",NA
44,"average","strictly anything","socially",NA,"dropped out of space camp","white",68,NA,"computer / hardware / software",2012-06-24 21:38:00,"san francisco, california","doesn't have kids","gay","likes dogs and likes cats","atheism and somewhat serious about it","m","cancer but it doesn't matter",NA,"english (fluently), other (poorly)","single","i'm five foot eight, give or take. serial loner but have a small set of really good friends. i've had my dna combined with that of a small h"
22,"athletic","mostly anything","rarely","never","working on college/university","other",68,NA,"other",2012-06-28 00:54:00,"berkeley, california",NA,"gay",NA,NA,"m","pisces but it doesn't matter","no","english, spanish (fluently), german (poorly), french (poorly)","single","hello everybody.  i love astronomy and any kind of science related subject. i believe i'm a really cool and nice guy to hang out with and ta"
26,"average","anything","socially","never","graduated from high school","other",73,NA,"other",2012-06-30 17:44:00,"san mateo, california","doesn't have kids, but wants them","straight","likes dogs and has cats","catholicism but not too serious about it","m","leo","no","english","single","i'm not good at this part. i like camping, hiking, biking, movies, going out, playing xbox, hanging with family and friends. i'm down with t"
27,NA,NA,"socially","never","working on ph.d program","middle eastern, white",66,NA,"student",2012-06-29 19:36:00,"berkeley, california",NA,"straight",NA,"judaism but not too serious about it","f","cancer but it doesn't matter","no","english (fluently), c++ (fluently), spanish (poorly)","single","i've pretty much been in california most of my life. my parents are from turkey and i spent a lot of summers visiting family there. i am an "
34,NA,NA,NA,NA,"graduated from ph.d program","white",75,NA,"science / tech / engineering",2012-06-30 23:26:00,"oakland, california",NA,"straight",NA,"atheism and somewhat serious about it","m",NA,NA,"english (fluently), english (poorly), spanish (poorly), french (poorly), c++ (fluently)","single","unilever's copy writers would describe me as,  a creamy blend of don draper, anthony bourdain, and richard feynman, with big chunks of bill "
25,NA,"mostly vegetarian","socially","sometimes","graduated from college/university",NA,72,NA,"entertainment / media",2011-08-28 01:00:00,"oakland, california",NA,"straight","likes dogs and has cats","other","m","taurus but it doesn't matter",NA,"english (fluently), spanish (okay)","single","i don't give a toot. i smoke a righteous amount of pot. i love adventuring out into new lands. i have an amazingly awesome cat. i have an ex"
33,"fit",NA,"socially","never","graduated from college/university","white",65,NA,"hospitality / travel",2012-06-30 19:01:00,"san francisco, california","doesn't have kids, but might want them","straight",NA,"christianity and somewhat serious about it","f","taurus and it's fun to think about","no","english","single","energetic, fun loving, adventurous, loves life and try to enjoy to the fullest and looking forward for that special person to enjoy life tog"
53,"fit",NA,NA,NA,"graduated from space camp","other",62,NA,"artistic / musical / writer",2011-07-03 14:14:00,"alameda, california","has kids","straight","has cats","judaism and laughing about it","f",NA,"no","english (fluently), yiddish (okay), other (fluently)","single","(uh-oh! is this the part of my profile that you see when you're scrolling through the list? if so, then i'll just play it safe and default t"
18,"athletic","anything","socially","never",NA,"black",63,NA,NA,2012-06-30 23:10:00,"oakland, california","doesn't have kids","straight","has dogs",NA,"f","sagittarius and it's fun to think about","no","english","single","i'm looking for cute guys preferably black but if yur sexy i won't discriminate..."
30,"average","strictly other","socially","sometimes","graduated from college/university",NA,66,20000,"unemployed",2012-06-29 10:38:00,"san francisco, california",NA,"straight",NA,"atheism and laughing about it","f",NA,"no","english (fluently), spanish (fluently), french (poorly)","single","i've been here in the city for a few years now, trying to evolve into a perfect sphere of well-rounded loveliness. i'm currently funemployed"
62,"fit",NA,"socially","never","college/university","white",68,NA,NA,2012-04-21 21:20:00,"san francisco, california",NA,"straight",NA,NA,"f",NA,"no","english","single","i have been distracted by the economy, recently paused to survey the landscape and realized i am tired of eating alone. the goal here is to "
27,"average","anything","socially","never","graduated from college/university","white",72,40000,"construction / craftsmanship",2012-06-30 00:40:00,"san leandro, california","doesn't have kids","straight","has dogs and likes cats","atheism and laughing about it","m","scorpio but it doesn't matter","no","english","single","geekness to the core. consummate gamer. tech addict. not a morning person but has to be anyway. weakness for puppies. better at describing o"
33,"fit","mostly anything","socially","never","graduated from masters program","white",66,NA,"education / academia",2012-06-30 03:13:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs",NA,"f",NA,"no","english, italian (okay), spanish (poorly)","single","i'm a spunky, smart, sweet girl who's looking for my partner in crime.    some factoids about me (in no particular order):  * i love the out"
36,"curvy","mostly anything","socially","never","graduated from masters program","white",60,60000,"entertainment / media",2012-06-30 12:49:00,"oakland, california","doesn't have kids, but might want them","straight","likes dogs and has cats","judaism but not too serious about it","f","aries but it doesn't matter","no","english (fluently)","single","i've been living in oakland since november '09. before that i'd spent my whole life in chicago (well, the relatively near 'burbs til i was 1"
30,NA,NA,"socially","never",NA,"asian",74,NA,"banking / financial / real estate",2012-06-30 18:52:00,"san francisco, california",NA,"straight",NA,"catholicism","m","cancer and it's fun to think about",NA,"english (fluently), spanish (okay), tagalog (okay)","single","born and raised in san francisco. die hard giants, niners, and warriors fan. a true male cancer (if you believe in astrology).    i am a ner"
29,"athletic","mostly anything","socially","never",NA,"hispanic / latin",70,250000,"sales / marketing / biz dev",2011-07-21 17:06:00,"redwood city, california",NA,"straight","has dogs and has cats",NA,"m",NA,"no","english (fluently)","single","i'm a fun out going guy. i'm very focused on my work. i enjoy a wide verity of activites. i'm a hugh warriors fan. i go to about 20 games a "
24,"fit",NA,"socially","never","graduated from college/university","asian",67,NA,"science / tech / engineering",2012-06-29 22:56:00,"san francisco, california","doesn't have kids, but wants them","straight",NA,NA,"m","scorpio but it doesn't matter","no","english","single","i grew up in the bay area most of my life. i went to school in socal for a degree in computer science and now i'm working in silicon valley."
27,"fit","mostly anything","socially","never","working on law school",NA,67,NA,"political / government",2012-06-26 22:16:00,"berkeley, california",NA,"straight",NA,NA,"f",NA,"no","english, spanish (fluently), french (poorly)","single","i'm from the city of brotherly love, and came west to embrace the wonders of the study of jurisprudence. i enjoy & try to indulge in adventu"
26,"overweight","strictly anything","socially","never","graduated from masters program","white",72,NA,"computer / hardware / software",2012-06-28 02:12:00,"san bruno, california","doesn't have kids, but might want them","straight",NA,"agnosticism and laughing about it","m","aquarius but it doesn't matter","no","english (fluently)","single","southern gentleman born and raised in georgia, mostly greek by heritage. i moved out to the bay area a couple years back for a job and have "
22,"a little extra","mostly anything","rarely","sometimes","working on two-year college","white",74,20000,"student",2012-06-30 15:39:00,"el cerrito, california","doesn't have kids, and doesn't want any","bisexual","likes dogs and likes cats","atheism and very serious about it","m","virgo but it doesn't matter","yes","english (poorly)","single","my name is joey - i'm originally from three miles away from where i live now, which is fine, because the world is big and scary. i live with"
31,"average",NA,"socially","sometimes","graduated from college/university","white",72,NA,"computer / hardware / software",2012-06-03 20:08:00,"san francisco, california",NA,"straight","likes dogs and likes cats","atheism","m",NA,"no","english (fluently), spanish (poorly)","single","i'm a hat man. before i went bald by choice, i was still going to my grandmother for haircuts. in my defense, she was a professional barber."
25,"fit","mostly other","socially","sometimes","graduated from college/university",NA,71,20000,"artistic / musical / writer",2012-06-30 15:03:00,"san francisco, california",NA,"bisexual","has cats","other and laughing about it","m","aries and it's fun to think about","no","english (fluently), french (okay), ancient greek (fluently), latin (fluently)","available","to be frank, i look much like the chrysler building.    i'm finally settled into the bay area. and by that, i mean i've navigated the wiggle"
25,"a little extra",NA,"socially","never","graduated from high school","hispanic / latin",70,NA,NA,2012-03-09 21:34:00,"san pablo, california","doesn't have kids","straight",NA,NA,"m","pisces",NA,"english (fluently), spanish (okay)","single","hey ladies heres a little something about me. i was born an raised in the bay area. i like hanging with friends an family, throwing bbqs, go"
42,"fit",NA,"socially",NA,"graduated from college/university","white",68,NA,"artistic / musical / writer",2012-06-19 01:54:00,"san francisco, california",NA,"straight","likes dogs and likes cats","other","m","libra","sometimes","english (fluently), spanish (okay)","single","i have been living in sf for over 15 years and have loved every minute of it. it is the one city that connected with me as a creative and vi"
29,"average","strictly vegetarian","socially","never","graduated from college/university","white",64,NA,"sales / marketing / biz dev",2012-06-25 19:29:00,"san francisco, california",NA,"straight","has dogs and dislikes cats","agnosticism but not too serious about it","f","gemini and it's fun to think about","no","english","single",NA
23,"fit","mostly anything","rarely","never","graduated from high school","asian",69,NA,"other",2012-05-27 22:25:00,"san francisco, california","doesn't have kids, but might want them","straight",NA,NA,"m","capricorn but it doesn't matter","sometimes","english (fluently), chinese (okay)","single","hi my name is danny. i love going to the gym! i'm shy at first but when i get to know the person more i come out of my shell."
31,"fit","mostly anything","socially","never","graduated from masters program","white",70,NA,"other",2011-10-31 04:32:00,"san francisco, california",NA,"straight",NA,"catholicism but not too serious about it","m",NA,NA,"english (fluently), spanish (fluently), french (poorly), japanese (poorly)","single","born in madrid grown up in seville, both in spain!  i'm a normal person, easy going, sensate, down to earth and friend of my friends who lik"
